"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","FXYD1",-1.76716898723272,5.90545500954987,-45.3022226126033,9.91162987237439e-284,1.75297085922813e-279,639.349758387516
"2","ABCA9",-1.8822528494769,5.99579281632282,-44.261970419275,4.90709231051584e-275,4.33934173018916e-271,619.375705332237
"3","SDPR",-2.76950488481656,6.54751325096805,-43.9815518007567,1.09486883646431e-272,6.45461674723594e-269,613.980329918351
"4","CLEC3B",-3.01642549281212,6.55724766156005,-43.5679186386059,3.21335929772198e-269,1.42078681348777e-265,606.013995861083
"5","CD300LG",-3.51205426989795,6.70977073963603,-42.8520816675606,3.28697139005583e-263,1.16266752009055e-259,592.206924269882
"6","SCARA5",-2.80298552160482,5.9503600213463,-42.0216727572382,3.16827457901753e-256,9.33901736741735e-253,576.161304425416
"7","ABCA6",-2.19575802612878,6.21099349371581,-40.6405055386289,1.37994969667966e-244,3.48654147649663e-241,549.4199774205
"8","BTNL9",-1.60296435713131,5.6798522529941,-40.3306358283054,5.67625570116361e-242,1.25487822913474e-238,543.413568181805
"9","FIGF",-1.28173128514844,5.59633987071222,-39.6364576943396,4.10230045302386e-236,8.06147620135334e-233,529.951775124465
"10","LEP",-3.76436695708256,6.05315113521129,-39.5721207972244,1.43276898066362e-235,2.53399521920167e-232,528.70380335462
"11","ARHGAP20",-1.13669571694684,5.71391367270928,-39.5130767458693,4.51498622609484e-235,6.6911394334757e-232,527.558462883767
"12","CA4",-2.4338872191741,6.0250400886453,-39.5127930338854,4.53995664376956e-235,6.6911394334757e-232,527.552959339756
"13","GPD1",-1.99208208954199,5.58053979829841,-38.883169810727,9.40296692549307e-230,1.27923748495593e-226,515.337989259872
"14","HEPACAM",-1.58832167376042,5.65055086634767,-38.6593205100334,7.30202065392031e-228,9.22453837751675e-225,510.994920422749
"15","LYVE1",-2.88858862404421,6.18735993379315,-37.9578490988885,6.11055844073233e-222,7.20475577218613e-219,497.386333841136
"16","LIPE",-2.28095483958743,5.95030112623391,-37.7781225706731,2.01017076228783e-220,2.22199250636391e-217,493.900310086556
"17","ADH1B",-2.77305725168043,6.03405628209062,-37.6305876226554,3.53588577994471e-219,3.67856917082954e-216,491.039004339208
"18","PDE2A",-1.12746938791904,5.66178425764862,-37.5749234682157,1.04301915472355e-218,1.02482426502448e-215,489.95953428126
"19","FHL1",-3.45836291663996,7.2260006428918,-37.4385542877767,1.47612559766165e-217,1.37403985896021e-214,487.31520655501
"20","ABCA8",-3.10332250882704,6.54649182364751,-37.3888420291949,3.87804394214207e-217,3.42935425803623e-214,486.351321331425
"21","CXCL2",-1.86483821141818,5.74057795304698,-37.3612900084551,6.62365082586202e-217,5.39595252530213e-214,485.817127405865
"22","GPAM",-2.78500573448434,7.12552668096873,-37.3606069303009,6.71214268668137e-217,5.39595252530213e-214,485.803883691806
"23","MAFF",-1.61614039330887,6.16381765178307,-37.3040601636444,2.01364780724136e-216,1.54840761386394e-213,484.707570671052
"24","TNMD",-2.29230129319781,5.97714572185124,-37.0126352195054,5.7869634415041e-214,4.26450980943506e-211,479.05858738155
"25","AQP7P3",-1.96561823022651,5.91583551585165,-36.0530135947309,7.08772830298323e-206,5.01414251066246e-203,460.4739868957
"26","AKAP12",-1.51296626615856,6.07570106329632,-35.8414993043108,4.27875298927094e-204,2.91053943724023e-201,456.382048464157
"27","ATOH8",-1.12000374153767,5.57674031927728,-35.546602185201,1.29644169624612e-201,8.4921732740033e-199,450.680205105207
"28","CLMP",-1.48856060912245,6.2598684955023,-35.1335917573322,3.84592114333842e-198,2.4292486193244e-195,442.701659217764
"29","IGFBP6",-3.12886689552232,7.68457149610524,-35.0836337424523,1.01097975603046e-197,6.16558205694989e-195,441.737173007369
"30","EBF3",-1.84325706336248,6.31312897768576,-34.8847071914613,4.73695608458765e-196,2.79259351040057e-193,437.898095022258
"31","HSPB7",-1.75660540517058,5.75733836813842,-34.8633875973393,7.15320907017796e-196,4.08102114887637e-193,437.48678375348
"32","VGLL3",-1.28836127232195,5.78990933273516,-34.795810959341,2.64121729044327e-195,1.45976778121187e-192,436.183229610583
"33","KLHL29",-1.25985488606317,5.89517734062896,-34.6713774809114,2.92485417641059e-194,1.54273172486511e-191,433.783627625139
"34","LDB2",-2.34606026184943,7.98371843770468,-34.6706581792721,2.96578529036604e-194,1.54273172486511e-191,433.769759225402
"35","TUSC5",-1.48819577063102,5.53282508435625,-34.5918099535169,1.36035029882683e-193,6.87404439572896e-191,432.249733104117
"36","ADAMTS5",-1.37284238911234,5.75206540451331,-34.30759904006,3.2857364934796e-191,1.57058204388325e-188,426.774095176703
"37","GDF10",-1.34083158013008,5.62775686432661,-34.2794769458575,5.65321740262226e-191,2.63112639428361e-188,426.23258671001
"38","CDKN2C",-1.74735248531424,6.27993567416775,-34.2314936933719,1.42672405413976e-190,6.47001067218354e-188,425.30876574012
"39","AQP7",-2.47752062323547,5.91962953101731,-34.1294071545063,1.02205200342376e-189,4.51900293313817e-187,423.34383370771
"40","F10",-1.02263713522974,5.62494485699342,-34.0914849248327,2.12347872603383e-189,9.15996213381326e-187,422.614107403802
"41","COL6A6",-1.53061322952632,5.70038304646327,-33.9009480039146,8.35564014199497e-188,3.5185202750315e-185,418.949260829383
"42","PAFAH1B3",2.33589098702921,10.5019275731305,33.8000139595029,5.83966300988045e-187,2.40186697657548e-184,417.00897440547
